59,Tue 09:26:00 PM,Super Mario RPG: Legend of the Seven Stars,any%,Justin-credible,3:25:00
60,Wed 01:01:00 AM,Trauma Center: Under The Knife 2,Normal,TrjnRabbit,2:10:00
61,Wed 03:21:00 AM,Medal of Honor: Airborne,Any% - Casual,ThePackle,0:35:00
62,Wed 04:06:00 AM,Tony Hawk's Pro Skater 2X,All Goals and Golds (All Careers),ThePackle,0:35:00
63,Wed 04:51:00 AM,The Elder Scrolls III: Morrowind,All Main Quests,Archariat,0:30:00
64,Wed 05:31:00 AM,Michael Jackson's Moonwalker,Any% Easy,Brandooates,0:25:00
65,Wed 06:06:00 AM,The Magical Quest Starring Mickey Mouse,Hard,Le Hulk,0:18:00
66,Wed 06:34:00 AM,Puzzle Bobble,1 Player,altabiscuit,0:25:00
67,Wed 07:09:00 AM,Guacamelee! 2,Any%,The Blacktastic,1:15:00
68,Wed 08:34:00 AM,Light Fall,Normal Any%,FuzzyGames,0:30:00
69,Wed 09:14:00 AM,Semblance,All Orbs one-handed,halfcoordinated,0:32:00
70,Wed 10:01:00 AM,N++,2 player Coop A-episodes,"AND4H, Krankdud",0:40:00
71,Wed 10:51:00 AM,Warcraft III: Reign of Chaos,Orc Campaign,CovertMuffin,1:00:00
72,Wed 12:01:00 PM,TimeSplitters 2,Any% Co-op Easy,"Copitz, Swoodeasu",0:35:00
73,Wed 12:51:00 PM,Halo: Reach,Legendary Co-op,"WoLfy, Pedrogas",1:50:00
74,Wed 02:51:00 PM,The Legend of Zelda: Twilight Princess,All Dungeons,SkyBlueAether,4:07:00
75,Wed 07:08:00 PM,SETUP BLOCK 3,Setup%,Tech Crew,1:05:00
76,Wed 08:33:00 PM,Mega Man X 1 - 3 team relay race,any%,"Trogdor, Calebhart42, ColonelFatso, Tokyo90, Walrus_Prime, Soppa, Justin-credible, Luiz Miguel, Madu",2:05:00
77,Wed 10:48:00 PM,Mega Man 10,Normal Mode,usedpizza,0:42:00
78,Wed 11:40:00 PM,Mega Man Unlimited,Z-Prototype Any%,LV Creed,0:43:00
79,Thu 12:33:00 AM,Mega Man II,any%,EndySWE,0:21:00
80,Thu 01:04:00 AM,Mega Man (DOS),Any%,Lizstar,0:17:00
81,Thu 01:31:00 AM,Avoid the Noid,30 minutes or less,Mike Uyama,0:17:00
82,Thu 01:58:00 AM,Virtual Hydlide,100%,Gyre,0:50:00
83,Thu 02:58:00 AM,Urban Yeti!,Any%,PeteDorr,0:29:00
84,Thu 03:42:00 AM,Gordo 106,Any%,janglestorm,0:25:00
85,Thu 04:17:00 AM,Mohawk & Headphone Jack,Any%,PJ,0:45:00
86,Thu 05:12:00 AM,Star Wars Episode I: The Phantom Menace,Beat the Game,saintmillion,0:48:00
87,Thu 06:45:00 AM,Sword of Sodan,Any% Easy,NPC,0:18:00
88,Thu 07:13:00 AM,Férias Frustradas do Pica-Pau,Difficult,GarbitheGlitcheress,0:18:00
89,Thu 07:41:00 AM,Home Alone 2: Lost in New York,NY%,Iceplug,0:15:00
90,Thu 08:06:00 AM,Garfield: A Week of Garfield,any%,coolkid,0:12:00
91,Thu 08:28:00 AM,Monkey King,any%,Brossentia,0:18:00
92,Thu 08:56:00 AM,Trio the Punch: Never Forget Me,Any%,ZakkyTheShimmeringKirin,0:30:00
93,Thu 09:36:00 AM,Metal Gear (NES),any%,Eriphram,0:28:00
94,Thu 10:14:00 AM,Metal Gear 2: Solid Snake,Original Difficulty Big Boss Rank,miniomegaking,1:00:00
95,Thu 11:24:00 AM,Ninja Five-O,any% normal,just_defend,0:30:00
96,Thu 12:04:00 PM,Overload,Trainee Any%,SpootyBiscuit,0:36:00
97,Thu 12:50:00 PM,Prey,Mooncrash DLC,bloodthunder,1:40:00
98,Thu 02:40:00 PM,Dishonored: Death of the Outsider,any%,Metro72,0:20:00
99,Thu 03:10:00 PM,Ultimate Doom,any%,KingDime,0:30:00
100,Thu 03:50:00 PM,Doom 2: Hell On Earth,any% UV-Speed,KingDime,0:33:00
101,Thu 04:33:00 PM,Doom 64,Any% Watch Me Die! Difficulty,Graviton,0:45:00
102,Thu 05:28:00 PM,Chex Quest,Extreme Ooze Speed,peaches,0:15:00
103,Thu 05:53:00 PM,Crypt of the NecroDancer: AMPLIFIED,Coda Low%,SpootyBiscuit,0:30:00
